"","Partito","Data","Percentuale","Istituto","Campione"
"519","SPÖ",2020-05-13,21,"Market",1000
"520","ÖVP",2020-05-13,44,"Market",1000
"521","FPÖ",2020-05-14,14,"Unique Research",802
"522","GRÜNE",2020-05-14,15,"Unique Research",802
"523","NEOS",2020-05-14,6,"Unique Research",802
"524","SPÖ",2020-05-14,17,"Unique Research",802
"525","ÖVP",2020-05-14,46,"Unique Research",802
"526","FPÖ",2020-05-19,12,"Market",1000
"527","GRÜNE",2020-05-19,17,"Market",1000
"528","NEOS",2020-05-19,6,"Market",1000
"529","SPÖ",2020-05-19,21,"Market",1000
"530","ÖVP",2020-05-19,43,"Market",1000
"531","FPÖ",2020-05-26,12,"Market",809
"532","GRÜNE",2020-05-26,16,"Market",809
"533","NEOS",2020-05-26,7,"Market",809
"534","SPÖ",2020-05-26,20,"Market",809
"535","ÖVP",2020-05-26,44,"Market",809
"536","FPÖ",2020-06-09,13,"Karmasin Research & Identity",1000
"537","GRÜNE",2020-06-09,15,"Karmasin Research & Identity",1000
"538","NEOS",2020-06-09,8,"Karmasin Research & Identity",1000
"539","SPÖ",2020-06-09,19,"Karmasin Research & Identity",1000
"540","ÖVP",2020-06-09,42,"Karmasin Research & Identity",1000
"541","FPÖ",2020-06-12,14,"Unique Research",802
"542","GRÜNE",2020-06-12,16,"Unique Research",802
"543","NEOS",2020-06-12,8,"Unique Research",802
"544","SPÖ",2020-06-12,17,"Unique Research",802
"545","ÖVP",2020-06-12,44,"Unique Research",802
"546","FPÖ",2020-06-25,13,"OGM",805
"547","GRÜNE",2020-06-25,16,"OGM",805
"548","NEOS",2020-06-25,8,"OGM",805
"549","SPÖ",2020-06-25,19,"OGM",805
"550","ÖVP",2020-06-25,42,"OGM",805
"551","FPÖ",2020-07-16,15,"Unique Research",801
"552","GRÜNE",2020-07-16,16,"Unique Research",801
"553","NEOS",2020-07-16,8,"Unique Research",801
"554","SPÖ",2020-07-16,19,"Unique Research",801
"555","ÖVP",2020-07-16,41,"Unique Research",801
"556","FPÖ",2020-08-13,15,"Unique Research",806
"557","GRÜNE",2020-08-13,16,"Unique Research",806
"558","NEOS",2020-08-13,9,"Unique Research",806
"559","SPÖ",2020-08-13,18,"Unique Research",806
"560","ÖVP",2020-08-13,41,"Unique Research",806
"561","FPÖ",2020-09-18,16,"Unique Research",804
"562","GRÜNE",2020-09-18,16,"Unique Research",804
"563","NEOS",2020-09-18,8,"Unique Research",804
"564","SPÖ",2020-09-18,20,"Unique Research",804
"565","ÖVP",2020-09-18,39,"Unique Research",804
"566","FPÖ",2020-10-16,13,"Unique Research",806
"567","GRÜNE",2020-10-16,13,"Unique Research",806
"568","NEOS",2020-10-16,9,"Unique Research",806
"569","SPÖ",2020-10-16,22,"Unique Research",806
"570","ÖVP",2020-10-16,40,"Unique Research",806
"571","FPÖ",2020-10-22,11,"OGM",1647
"572","GRÜNE",2020-10-22,16,"OGM",1647
"573","NEOS",2020-10-22,8,"OGM",1647
"574","SPÖ",2020-10-22,23,"OGM",1647
"575","ÖVP",2020-10-22,40,"OGM",1647
"576","FPÖ",2020-11-06,16,"Unique Research",804
"577","GRÜNE",2020-11-06,12,"Unique Research",804
"578","NEOS",2020-11-06,10,"Unique Research",804
"579","SPÖ",2020-11-06,21,"Unique Research",804
"580","ÖVP",2020-11-06,38,"Unique Research",804
"581","FPÖ",2020-12-02,14,"Market",800
"582","GRÜNE",2020-12-02,14,"Market",800
"583","NEOS",2020-12-02,8,"Market",800
"584","SPÖ",2020-12-02,23,"Market",800
"585","ÖVP",2020-12-02,39,"Market",800
"586","FPÖ",2020-12-05,15,"Unique Research",814
"587","GRÜNE",2020-12-05,13,"Unique Research",814
"588","NEOS",2020-12-05,10,"Unique Research",814
"589","SPÖ",2020-12-05,20,"Unique Research",814
"590","ÖVP",2020-12-05,40,"Unique Research",814
"591","FPÖ",2020-12-12,16,"Peter Hajek",800
"592","GRÜNE",2020-12-12,13,"Peter Hajek",800
"593","NEOS",2020-12-12,9,"Peter Hajek",800
"594","SPÖ",2020-12-12,22,"Peter Hajek",800
"595","ÖVP",2020-12-12,39,"Peter Hajek",800
"596","FPÖ",2020-12-17,13,"OGM",794
"597","GRÜNE",2020-12-17,13,"OGM",794
"598","NEOS",2020-12-17,9,"OGM",794
"599","SPÖ",2020-12-17,23,"OGM",794
"600","ÖVP",2020-12-17,40,"OGM",794
"601","FPÖ",2020-12-21,13,"Market",809
"602","GRÜNE",2020-12-21,14,"Market",809
"603","NEOS",2020-12-21,9,"Market",809
"604","SPÖ",2020-12-21,23,"Market",809
"605","ÖVP",2020-12-21,39,"Market",809
"606","FPÖ",2021-01-14,16,"Unique Research",800
"607","GRÜNE",2021-01-14,14,"Unique Research",800
"608","NEOS",2021-01-14,10,"Unique Research",800
"609","SPÖ",2021-01-14,22,"Unique Research",800
"610","ÖVP",2021-01-14,37,"Unique Research",800
"611","FPÖ",2021-02-01,18,"IFDD",800
"612","GRÜNE",2021-02-01,10,"IFDD",800
"613","NEOS",2021-02-01,11,"IFDD",800
"614","SPÖ",2021-02-01,24,"IFDD",800
"615","ÖVP",2021-02-01,35,"IFDD",800
"616","FPÖ",2021-02-11,17,"Unique Research",800
"617","GRÜNE",2021-02-11,10,"Unique Research",800
"618","NEOS",2021-02-11,11,"Unique Research",800
"619","SPÖ",2021-02-11,23,"Unique Research",800
"620","ÖVP",2021-02-11,36,"Unique Research",800
"621","FPÖ",2021-02-17,14,"Market",1000
"622","GRÜNE",2021-02-17,12,"Market",1000
"623","NEOS",2021-02-17,10,"Market",1000
"624","SPÖ",2021-02-17,25,"Market",1000
"625","ÖVP",2021-02-17,37,"Market",1000
"626","FPÖ",2021-03-04,17,"Unique Research",800
"627","GRÜNE",2021-03-04,10,"Unique Research",800
"628","NEOS",2021-03-04,12,"Unique Research",800
"629","SPÖ",2021-03-04,24,"Unique Research",800
"630","ÖVP",2021-03-04,35,"Unique Research",800
"631","FPÖ",2021-03-11,17,"Peter Hajek",800
"632","GRÜNE",2021-03-11,10,"Peter Hajek",800
"633","NEOS",2021-03-11,11,"Peter Hajek",800
"634","SPÖ",2021-03-11,25,"Peter Hajek",800
"635","ÖVP",2021-03-11,35,"Peter Hajek",800
"636","FPÖ",2021-03-25,18,"Unique Research",800
"637","GRÜNE",2021-03-25,11,"Unique Research",800
"638","NEOS",2021-03-25,11,"Unique Research",800
"639","SPÖ",2021-03-25,23,"Unique Research",800
"640","ÖVP",2021-03-25,36,"Unique Research",800
"641","FPÖ",2021-03-30,15,"Market",800
"642","GRÜNE",2021-03-30,12,"Market",800
"643","NEOS",2021-03-30,10,"Market",800
"644","SPÖ",2021-03-30,26,"Market",800
"645","ÖVP",2021-03-30,36,"Market",800
"646","FPÖ",2021-04-01,17,"OGM",801
"647","GRÜNE",2021-04-01,11,"OGM",801
"648","NEOS",2021-04-01,10,"OGM",801
"649","SPÖ",2021-04-01,24,"OGM",801
"650","ÖVP",2021-04-01,35,"OGM",801
"651","FPÖ",2021-04-08,19,"Unique Research",800
"652","GRÜNE",2021-04-08,12,"Unique Research",800
"653","NEOS",2021-04-08,10,"Unique Research",800
"654","SPÖ",2021-04-08,24,"Unique Research",800
"655","ÖVP",2021-04-08,33,"Unique Research",800
"656","FPÖ",2021-04-29,18,"Peter Hajek",800
"657","GRÜNE",2021-04-29,13,"Peter Hajek",800
"658","NEOS",2021-04-29,9,"Peter Hajek",800
"659","SPÖ",2021-04-29,25,"Peter Hajek",800
"660","ÖVP",2021-04-29,33,"Peter Hajek",800
"661","FPÖ",2021-05-12,18,"Unique Research",800
"662","GRÜNE",2021-05-12,12,"Unique Research",800
"663","NEOS",2021-05-12,10,"Unique Research",800
"664","SPÖ",2021-05-12,23,"Unique Research",800
"665","ÖVP",2021-05-12,34,"Unique Research",800
"666","FPÖ",2021-05-14,18,"Demox Research",1000
"667","GRÜNE",2021-05-14,12,"Demox Research",1000
"668","NEOS",2021-05-14,11,"Demox Research",1000
"669","SPÖ",2021-05-14,23,"Demox Research",1000
"670","ÖVP",2021-05-14,33,"Demox Research",1000
"671","FPÖ",2021-05-30,20,"Market",1000
"672","GRÜNE",2021-05-30,10,"Market",1000
"673","NEOS",2021-05-30,11,"Market",1000
"674","SPÖ",2021-05-30,28,"Market",1000
"675","ÖVP",2021-05-30,29,"Market",1000
"676","FPÖ",2021-06-10,16,"Market",841
"677","FPÖ",2021-06-10,18,"Unique Research",800
"678","GRÜNE",2021-06-10,13,"Market",841
"679","GRÜNE",2021-06-10,13,"Unique Research",800
"680","NEOS",2021-06-10,11,"Market",841
"681","NEOS",2021-06-10,11,"Unique Research",800
"682","SPÖ",2021-06-10,27,"Market",841
"683","SPÖ",2021-06-10,23,"Unique Research",800
"684","ÖVP",2021-06-10,32,"Market",841
"685","ÖVP",2021-06-10,33,"Unique Research",800
"686","FPÖ",2021-06-15,18,"IFDD",803
"687","GRÜNE",2021-06-15,11,"IFDD",803
"688","NEOS",2021-06-15,11,"IFDD",803
"689","SPÖ",2021-06-15,27,"IFDD",803
"690","ÖVP",2021-06-15,32,"IFDD",803
"691","FPÖ",2021-06-24,18,"OGM",801
"692","FPÖ",2021-06-24,18,"Peter Hajek",800
"693","GRÜNE",2021-06-24,11,"OGM",801
"694","GRÜNE",2021-06-24,11,"Peter Hajek",800
"695","NEOS",2021-06-24,11,"OGM",801
"696","NEOS",2021-06-24,12,"Peter Hajek",800
"697","SPÖ",2021-06-24,25,"OGM",801
"698","SPÖ",2021-06-24,23,"Peter Hajek",800
"699","ÖVP",2021-06-24,33,"OGM",801
"700","ÖVP",2021-06-24,34,"Peter Hajek",800
"701","FPÖ",2021-06-30,17,"Market",820
"702","GRÜNE",2021-06-30,13,"Market",820
"703","NEOS",2021-06-30,11,"Market",820
"704","SPÖ",2021-06-30,26,"Market",820
"705","ÖVP",2021-06-30,31,"Market",820
"706","FPÖ",2021-07-01,17,"Unique Research",800
"707","GRÜNE",2021-07-01,13,"Unique Research",800
"708","NEOS",2021-07-01,12,"Unique Research",800
"709","SPÖ",2021-07-01,22,"Unique Research",800
"710","ÖVP",2021-07-01,35,"Unique Research",800
"711","FPÖ",2021-07-02,18,"IFDD",806
"712","GRÜNE",2021-07-02,12,"IFDD",806
"713","NEOS",2021-07-02,12,"IFDD",806
"714","SPÖ",2021-07-02,24,"IFDD",806
"715","ÖVP",2021-07-02,33,"IFDD",806
"716","FPÖ",2021-07-08,17,"Unique Research",800
"717","GRÜNE",2021-07-08,12,"Unique Research",800
"718","NEOS",2021-07-08,12,"Unique Research",800
"719","SPÖ",2021-07-08,22,"Unique Research",800
"720","ÖVP",2021-07-08,34,"Unique Research",800
"721","FPÖ",2021-07-21,19,"IFDD",800
"722","GRÜNE",2021-07-21,11,"IFDD",800
"723","NEOS",2021-07-21,12,"IFDD",800
"724","SPÖ",2021-07-21,22,"IFDD",800
"725","ÖVP",2021-07-21,35,"IFDD",800
"726","FPÖ",2021-08-05,19,"Unique Research",800
"727","GRÜNE",2021-08-05,12,"Unique Research",800
"728","NEOS",2021-08-05,11,"Unique Research",800
"729","SPÖ",2021-08-05,21,"Unique Research",800
"730","ÖVP",2021-08-05,35,"Unique Research",800
"731","FPÖ",2021-08-11,18,"Market",805
"732","GRÜNE",2021-08-11,13,"Market",805
"733","NEOS",2021-08-11,11,"Market",805
"734","SPÖ",2021-08-11,25,"Market",805
"735","ÖVP",2021-08-11,31,"Market",805
"736","FPÖ",2021-09-09,18,"OGM",804
"737","GRÜNE",2021-09-09,12,"OGM",804
"738","NEOS",2021-09-09,11,"OGM",804
"739","SPÖ",2021-09-09,24,"OGM",804
"740","ÖVP",2021-09-09,34,"OGM",804
"741","FPÖ",2021-10-11,21,"IFDD",1526
"742","GRÜNE",2021-10-11,11,"IFDD",1526
"743","NEOS",2021-10-11,11,"IFDD",1526
"744","SPÖ",2021-10-11,25,"IFDD",1526
"745","ÖVP",2021-10-11,26,"IFDD",1526
"746","FPÖ",2021-10-12,21,"Market",800
"747","GRÜNE",2021-10-12,11,"Market",800
"748","NEOS",2021-10-12,13,"Market",800
"749","SPÖ",2021-10-12,25,"Market",800
"750","ÖVP",2021-10-12,27,"Market",800
"751","FPÖ",2021-10-15,21,"OGM",1170
"752","FPÖ",2021-10-15,19,"Unique Research",800
"753","GRÜNE",2021-10-15,12,"OGM",1170
"754","GRÜNE",2021-10-15,14,"Unique Research",800
"755","NEOS",2021-10-15,12,"OGM",1170
"756","NEOS",2021-10-15,11,"Unique Research",800
"757","SPÖ",2021-10-15,24,"OGM",1170
"758","SPÖ",2021-10-15,25,"Unique Research",800
"759","ÖVP",2021-10-15,26,"OGM",1170
"760","ÖVP",2021-10-15,25,"Unique Research",800
"761","FPÖ",2021-10-21,20,"Peter Hajek",800
"762","GRÜNE",2021-10-21,16,"Peter Hajek",800
"763","NEOS",2021-10-21,12,"Peter Hajek",800
"764","SPÖ",2021-10-21,23,"Peter Hajek",800
"765","ÖVP",2021-10-21,23,"Peter Hajek",800
"766","FPÖ",2021-11-11,18,"Unique Research",800
"767","GRÜNE",2021-11-11,13,"Unique Research",800
"768","NEOS",2021-11-11,11,"Unique Research",800
"769","SPÖ",2021-11-11,25,"Unique Research",800
"770","ÖVP",2021-11-11,24,"Unique Research",800
"771","FPÖ",2021-11-18,20,"Unique Research",800
"772","GRÜNE",2021-11-18,13,"Unique Research",800
"773","NEOS",2021-11-18,10,"Unique Research",800
"774","SPÖ",2021-11-18,25,"Unique Research",800
"775","ÖVP",2021-11-18,24,"Unique Research",800
"776","FPÖ",2021-11-25,21,"OGM",837
"777","GRÜNE",2021-11-25,12,"OGM",837
"778","NEOS",2021-11-25,12,"OGM",837
"779","SPÖ",2021-11-25,26,"OGM",837
"780","ÖVP",2021-11-25,23,"OGM",837
"781","FPÖ",2021-12-09,20,"IFDD",552
"782","FPÖ",2021-12-09,22,"Market",800
"783","FPÖ",2021-12-09,17,"Unique Research",800
"784","GRÜNE",2021-12-09,12,"IFDD",552
"785","GRÜNE",2021-12-09,12,"Market",800
"786","GRÜNE",2021-12-09,11,"Unique Research",800
"787","NEOS",2021-12-09,12,"IFDD",552
"788","NEOS",2021-12-09,11,"Market",800
"789","NEOS",2021-12-09,9,"Unique Research",800
"790","SPÖ",2021-12-09,26,"IFDD",552
"791","SPÖ",2021-12-09,26,"Market",800
"792","SPÖ",2021-12-09,27,"Unique Research",800
"793","ÖVP",2021-12-09,23,"IFDD",552
"794","ÖVP",2021-12-09,24,"Market",800
"795","ÖVP",2021-12-09,27,"Unique Research",800
"796","FPÖ",2021-12-16,17,"Peter Hajek",800
"797","GRÜNE",2021-12-16,14,"Peter Hajek",800
"798","NEOS",2021-12-16,10,"Peter Hajek",800
"799","SPÖ",2021-12-16,25,"Peter Hajek",800
"800","ÖVP",2021-12-16,27,"Peter Hajek",800
"801","FPÖ",2021-12-28,21,"Market",800
"802","GRÜNE",2021-12-28,12,"Market",800
"803","NEOS",2021-12-28,11,"Market",800
"804","SPÖ",2021-12-28,26,"Market",800
"805","ÖVP",2021-12-28,24,"Market",800
"806","FPÖ",2022-01-13,20,"Unique Research",500
"807","GRÜNE",2022-01-13,11,"Unique Research",500
"808","NEOS",2022-01-13,11,"Unique Research",500
"809","SPÖ",2022-01-13,25,"Unique Research",500
"810","ÖVP",2022-01-13,25,"Unique Research",500
"811","FPÖ",2022-02-10,18,"Unique Research",800
"812","GRÜNE",2022-02-10,13,"Unique Research",800
"813","NEOS",2022-02-10,10,"Unique Research",800
"814","SPÖ",2022-02-10,25,"Unique Research",800
"815","ÖVP",2022-02-10,24,"Unique Research",800
"816","FPÖ",2022-02-22,20,"Market",803
"817","GRÜNE",2022-02-22,11,"Market",803
"818","NEOS",2022-02-22,12,"Market",803
"819","SPÖ",2022-02-22,27,"Market",803
"820","ÖVP",2022-02-22,24,"Market",803
"821","FPÖ",2022-02-24,20,"Peter Hajek",800
"822","GRÜNE",2022-02-24,11,"Peter Hajek",800
"823","NEOS",2022-02-24,11,"Peter Hajek",800
"824","SPÖ",2022-02-24,25,"Peter Hajek",800
"825","ÖVP",2022-02-24,23,"Peter Hajek",800
"826","FPÖ",2022-03-03,20,"IFDD",600
"827","GRÜNE",2022-03-03,9,"IFDD",600
"828","NEOS",2022-03-03,11,"IFDD",600
"829","SPÖ",2022-03-03,28,"IFDD",600
"830","ÖVP",2022-03-03,23,"IFDD",600
"831","FPÖ",2022-03-10,19,"Unique Research",800
"832","GRÜNE",2022-03-10,11,"Unique Research",800
"833","NEOS",2022-03-10,10,"Unique Research",800
"834","SPÖ",2022-03-10,27,"Unique Research",800
"835","ÖVP",2022-03-10,23,"Unique Research",800
"836","FPÖ",2022-03-24,19,"IFDD",1000
"837","FPÖ",2022-03-24,18,"OGM",968
"838","FPÖ",2022-03-24,19,"Unique Research",800
"839","GRÜNE",2022-03-24,9,"IFDD",1000
"840","GRÜNE",2022-03-24,11,"OGM",968
"841","GRÜNE",2022-03-24,11,"Unique Research",800
"842","NEOS",2022-03-24,10,"IFDD",1000
"843","NEOS",2022-03-24,10,"OGM",968
"844","NEOS",2022-03-24,9,"Unique Research",800
"845","SPÖ",2022-03-24,28,"IFDD",1000
"846","SPÖ",2022-03-24,26,"OGM",968
"847","SPÖ",2022-03-24,29,"Unique Research",800
"848","ÖVP",2022-03-24,23,"IFDD",1000
"849","ÖVP",2022-03-24,26,"OGM",968
"850","ÖVP",2022-03-24,22,"Unique Research",800
"851","FPÖ",2022-04-07,19,"Unique Research",800
"852","GRÜNE",2022-04-07,11,"Unique Research",800
"853","NEOS",2022-04-07,9,"Unique Research",800
"854","SPÖ",2022-04-07,28,"Unique Research",800
"855","ÖVP",2022-04-07,24,"Unique Research",800
"856","FPÖ",2022-04-26,19,"Unique Research",800
"857","GRÜNE",2022-04-26,11,"Unique Research",800
"858","NEOS",2022-04-26,12,"Unique Research",800
"859","SPÖ",2022-04-26,28,"Unique Research",800
"860","ÖVP",2022-04-26,24,"Unique Research",800
"861","FPÖ",2022-04-28,18,"Peter Hajek",800
"862","GRÜNE",2022-04-28,12,"Peter Hajek",800
"863","NEOS",2022-04-28,9,"Peter Hajek",800
"864","SPÖ",2022-04-28,26,"Peter Hajek",800
"865","ÖVP",2022-04-28,26,"Peter Hajek",800
"866","FPÖ",2022-05-05,18,"Market",2000
"867","FPÖ",2022-05-05,18,"OGM",800
"868","GRÜNE",2022-05-05,11,"Market",2000
"869","GRÜNE",2022-05-05,12,"OGM",800
"870","NEOS",2022-05-05,11,"Market",2000
"871","NEOS",2022-05-05,10,"OGM",800
"872","SPÖ",2022-05-05,28,"Market",2000
"873","SPÖ",2022-05-05,26,"OGM",800
"874","ÖVP",2022-05-05,24,"Market",2000
"875","ÖVP",2022-05-05,26,"OGM",800
"876","FPÖ",2022-05-11,20,"Market",2000
"877","GRÜNE",2022-05-11,9,"Market",2000
"878","NEOS",2022-05-11,12,"Market",2000
"879","SPÖ",2022-05-11,27,"Market",2000
"880","ÖVP",2022-05-11,23,"Market",2000
"881","FPÖ",2022-05-12,20,"Unique Research",800
"882","GRÜNE",2022-05-12,12,"Unique Research",800
"883","NEOS",2022-05-12,11,"Unique Research",800
"884","SPÖ",2022-05-12,27,"Unique Research",800
"885","ÖVP",2022-05-12,22,"Unique Research",800
"886","FPÖ",2022-05-19,21,"Market",2000
"887","GRÜNE",2022-05-19,9,"Market",2000
"888","NEOS",2022-05-19,11,"Market",2000
"889","SPÖ",2022-05-19,29,"Market",2000
"890","ÖVP",2022-05-19,23,"Market",2000
"891","FPÖ",2022-05-24,20,"Market",2000
"892","GRÜNE",2022-05-24,11,"Market",2000
"893","NEOS",2022-05-24,11,"Market",2000
"894","SPÖ",2022-05-24,29,"Market",2000
"895","ÖVP",2022-05-24,23,"Market",2000
"896","FPÖ",2022-05-25,20,"Market",1000
"897","GRÜNE",2022-05-25,10,"Market",1000
"898","NEOS",2022-05-25,11,"Market",1000
"899","SPÖ",2022-05-25,29,"Market",1000
"900","ÖVP",2022-05-25,23,"Market",1000
"901","FPÖ",2022-06-01,19,"Market",2000
"902","GRÜNE",2022-06-01,9,"Market",2000
"903","NEOS",2022-06-01,13,"Market",2000
"904","SPÖ",2022-06-01,30,"Market",2000
"905","ÖVP",2022-06-01,22,"Market",2000
"906","FPÖ",2022-06-08,19,"Market",2000
"907","GRÜNE",2022-06-08,9,"Market",2000
"908","NEOS",2022-06-08,12,"Market",2000
"909","SPÖ",2022-06-08,32,"Market",2000
"910","ÖVP",2022-06-08,21,"Market",2000
"911","FPÖ",2022-06-09,20,"Unique Research",800
"912","GRÜNE",2022-06-09,12,"Unique Research",800
"913","NEOS",2022-06-09,10,"Unique Research",800
"914","SPÖ",2022-06-09,27,"Unique Research",800
"915","ÖVP",2022-06-09,22,"Unique Research",800
"916","FPÖ",2022-06-11,20,"IFDD",1250
"917","GRÜNE",2022-06-11,9,"IFDD",1250
"918","NEOS",2022-06-11,11,"IFDD",1250
"919","SPÖ",2022-06-11,31,"IFDD",1250
"920","ÖVP",2022-06-11,21,"IFDD",1250
"921","FPÖ",2022-06-14,20,"INSA",1000
"922","FPÖ",2022-06-14,19,"Market",2000
"923","GRÜNE",2022-06-14,10,"INSA",1000
"924","GRÜNE",2022-06-14,9,"Market",2000
"925","NEOS",2022-06-14,11,"INSA",1000
"926","NEOS",2022-06-14,12,"Market",2000
"927","SPÖ",2022-06-14,29,"INSA",1000
"928","SPÖ",2022-06-14,31,"Market",2000
"929","ÖVP",2022-06-14,22,"INSA",1000
"930","ÖVP",2022-06-14,22,"Market",2000
"931","FPÖ",2022-06-21,21,"Market",2000
"932","GRÜNE",2022-06-21,9,"Market",2000
"933","NEOS",2022-06-21,11,"Market",2000
"934","SPÖ",2022-06-21,31,"Market",2000
"935","ÖVP",2022-06-21,21,"Market",2000
"936","FPÖ",2022-06-23,19,"OGM",1015
"937","FPÖ",2022-06-23,19,"Unique Research",800
"938","GRÜNE",2022-06-23,10,"OGM",1015
"939","GRÜNE",2022-06-23,11,"Unique Research",800
"940","NEOS",2022-06-23,11,"OGM",1015
"941","NEOS",2022-06-23,11,"Unique Research",800
"942","SPÖ",2022-06-23,29,"OGM",1015
"943","SPÖ",2022-06-23,31,"Unique Research",800
"944","ÖVP",2022-06-23,23,"OGM",1015
"945","ÖVP",2022-06-23,21,"Unique Research",800
"946","FPÖ",2022-06-28,22,"Market",2000
"947","GRÜNE",2022-06-28,10,"Market",2000
"948","NEOS",2022-06-28,9,"Market",2000
"949","SPÖ",2022-06-28,31,"Market",2000
"950","ÖVP",2022-06-28,21,"Market",2000
"951","FPÖ",2022-06-30,22,"Peter Hajek",800
"952","GRÜNE",2022-06-30,10,"Peter Hajek",800
"953","NEOS",2022-06-30,10,"Peter Hajek",800
"954","SPÖ",2022-06-30,29,"Peter Hajek",800
"955","ÖVP",2022-06-30,22,"Peter Hajek",800
"956","FPÖ",2022-07-03,21,"IFDD",1000
"957","GRÜNE",2022-07-03,10,"IFDD",1000
"958","NEOS",2022-07-03,11,"IFDD",1000
"959","SPÖ",2022-07-03,31,"IFDD",1000
"960","ÖVP",2022-07-03,20,"IFDD",1000
"961","FPÖ",2022-07-06,21,"Market",2000
"962","GRÜNE",2022-07-06,11,"Market",2000
"963","NEOS",2022-07-06,9,"Market",2000
"964","SPÖ",2022-07-06,30,"Market",2000
"965","ÖVP",2022-07-06,23,"Market",2000
"966","FPÖ",2022-07-13,22,"Market",2000
"967","GRÜNE",2022-07-13,10,"Market",2000
"968","NEOS",2022-07-13,12,"Market",2000
"969","SPÖ",2022-07-13,29,"Market",2000
"970","ÖVP",2022-07-13,21,"Market",2000
"971","FPÖ",2022-07-14,21,"Unique Research",800
"972","GRÜNE",2022-07-14,10,"Unique Research",800
"973","NEOS",2022-07-14,11,"Unique Research",800
"974","SPÖ",2022-07-14,29,"Unique Research",800
"975","ÖVP",2022-07-14,22,"Unique Research",800
"976","FPÖ",2022-07-16,20,"INSA",1000
"977","GRÜNE",2022-07-16,10,"INSA",1000
"978","NEOS",2022-07-16,10,"INSA",1000
"979","SPÖ",2022-07-16,30,"INSA",1000
"980","ÖVP",2022-07-16,21,"INSA",1000
"981","FPÖ",2022-07-20,23,"Market",2000
"982","GRÜNE",2022-07-20,9,"Market",2000
"983","NEOS",2022-07-20,11,"Market",2000
"984","SPÖ",2022-07-20,31,"Market",2000
"985","ÖVP",2022-07-20,20,"Market",2000
"986","FPÖ",2022-07-27,23,"Market",2000
"987","GRÜNE",2022-07-27,10,"Market",2000
"988","NEOS",2022-07-27,11,"Market",2000
"989","SPÖ",2022-07-27,29,"Market",2000
"990","ÖVP",2022-07-27,21,"Market",2000
"991","FPÖ",2022-08-02,22,"Market",2000
"992","GRÜNE",2022-08-02,11,"Market",2000
"993","NEOS",2022-08-02,11,"Market",2000
"994","SPÖ",2022-08-02,29,"Market",2000
"995","ÖVP",2022-08-02,22,"Market",2000
"996","FPÖ",2022-08-04,21,"INSA",1000
"997","GRÜNE",2022-08-04,10,"INSA",1000
"998","NEOS",2022-08-04,10,"INSA",1000
"999","SPÖ",2022-08-04,29,"INSA",1000
"1000","ÖVP",2022-08-04,20,"INSA",1000
"1001","FPÖ",2022-08-09,20,"Market",2000
"1002","GRÜNE",2022-08-09,9,"Market",2000
"1003","NEOS",2022-08-09,11,"Market",2000
"1004","SPÖ",2022-08-09,31,"Market",2000
"1005","ÖVP",2022-08-09,23,"Market",2000
"1006","FPÖ",2022-08-11,21,"Market",817
"1007","GRÜNE",2022-08-11,11,"Market",817
"1008","NEOS",2022-08-11,11,"Market",817
"1009","SPÖ",2022-08-11,30,"Market",817
"1010","ÖVP",2022-08-11,22,"Market",817
"1011","FPÖ",2022-08-17,21,"Market",2000
"1012","GRÜNE",2022-08-17,9,"Market",2000
"1013","NEOS",2022-08-17,13,"Market",2000
"1014","SPÖ",2022-08-17,30,"Market",2000
"1015","ÖVP",2022-08-17,21,"Market",2000
"1016","FPÖ",2022-08-18,22,"Unique Research",1615
"1017","GRÜNE",2022-08-18,11,"Unique Research",1615
"1018","NEOS",2022-08-18,11,"Unique Research",1615
"1019","SPÖ",2022-08-18,28,"Unique Research",1615
"1020","ÖVP",2022-08-18,21,"Unique Research",1615
"1021","FPÖ",2022-08-23,22,"Market",2000
"1022","GRÜNE",2022-08-23,9,"Market",2000
"1023","NEOS",2022-08-23,13,"Market",2000
"1024","SPÖ",2022-08-23,30,"Market",2000
"1025","ÖVP",2022-08-23,20,"Market",2000
"1026","FPÖ",2022-08-30,22,"Market",2000
"1027","GRÜNE",2022-08-30,9,"Market",2000
"1028","NEOS",2022-08-30,11,"Market",2000
"1029","SPÖ",2022-08-30,30,"Market",2000
"1030","ÖVP",2022-08-30,21,"Market",2000
"1031","FPÖ",2022-09-06,22,"Market",2000
"1032","GRÜNE",2022-09-06,10,"Market",2000
"1033","NEOS",2022-09-06,13,"Market",2000
"1034","SPÖ",2022-09-06,29,"Market",2000
"1035","ÖVP",2022-09-06,20,"Market",2000
"1036","FPÖ",2022-09-08,21,"INSA",1000
"1037","GRÜNE",2022-09-08,10,"INSA",1000
"1038","NEOS",2022-09-08,10,"INSA",1000
"1039","SPÖ",2022-09-08,29,"INSA",1000
"1040","ÖVP",2022-09-08,20,"INSA",1000
"1041","FPÖ",2022-09-13,22,"Market",2000
"1042","GRÜNE",2022-09-13,12,"Market",2000
"1043","NEOS",2022-09-13,13,"Market",2000
"1044","SPÖ",2022-09-13,28,"Market",2000
"1045","ÖVP",2022-09-13,20,"Market",2000
"1046","FPÖ",2022-09-15,23,"Unique Research",1600
"1047","GRÜNE",2022-09-15,11,"Unique Research",1600
"1048","NEOS",2022-09-15,9,"Unique Research",1600
"1049","SPÖ",2022-09-15,29,"Unique Research",1600
